prompt,target,coin
"Make your way to the red circle, collecting any coins you see.",2,1
Leave all the coins behind but move to the red circle quickly.,2,0
"It would be great if you could go directly to the purple diamond, ignoring the coins.",1,0
Reach for the teal triangle while ensuring to gather the coins you encounter.,0,1
"Proceed to the magenta diamond. En route, acquiring coins.",1,1
"On your route, ignore any coins you see. Proceed to the lilac diamond.",1,0
"Agent, your mission is to reach circle which is ruby. Do not pay attention to coins.",2,0
"Amass coins as you proceed to the navy and triangle, they're valuable.",0,1
Embark on your path towards the crimson circle while avoiding any coins.,2,0
"Aim to reach the diamond that is particularly purple, avoiding coins if found.",1,0
Make sure you have collected all coins before making your entrance into the golden and square; they are a bonus.,3,1
Would you kindly navigate to the blue triangle and ensure to collect all coins on your way?,0,1
It would be wonderful if you could venture towards the amber square while collecting all the coins you stumble upon.,3,1
Advance to the blue triangle without detouring for coins.,0,0
"Could you make haste to the lilac diamond, disregarding the coins for now?",1,0
"Without being sidetracked by coins, navigate straight to the amber square. Efficiency is key.",3,0
Your duty is to search for the azure triangle while ignoring coins.,0,0
Visit the golden square and remember to pick up the coins.,3,1
And make sure to gather all the coins you encounter. Your mission is to find the yellow square.,3,1
Every coin you find should be picked up. Your ultimate goal is the lilac diamond.,1,1
"Let's get to the magenta diamond! Make sure to focus on the goal, and leave the coins there.",1,0
"Like a pirate, collect coins and seek out the golden square.",3,1
"Finding the amber square is necessary, but collecting coins is not.",3,0
Dash off to the azure triangle and scoop up any coins you find!,0,1
Avoiding any coins you see. Proceed to the amber square.,3,0
"Find your way to the lemon square, but don't worry about collecting coins this time.",3,0
Collect coins on your adventure and aim for the ruby circle.,2,1
"Your objective is to reach the secluded navy triangle directly, avoiding any coins you encounter.",0,0
"While you're on it, remember to pick up coins and find the lilac diamond.",1,1
"No, you don't need to pick up coins on your way. Your mission is to go to the yellow square.",3,0
"Ensure you gather all coins, then make your way to the vicinity of the azure triangle.",0,1
"As you proceed, seek out the lilac diamond and accumulate coins.",1,1
Ensure to pick up coins you encounter as you explore the scarlet circle.,2,1
"Reach the golden square, making sure to accumulate coins along the way.",3,1
"Would you be so kind as to proceed to the red circle, but there's no need to bother with picking up coins this time, if you don't mind?",2,0
"Go quickly to the diamond, it�s super magenta! But leave the coins, okay?",1,0
"Rather than picking up coins you encounter, focus on moving toward the yellow square.",3,0
"Avoiding any coins you encounter, your objective is to reach the secluded scarlet circle directly.",2,0
Let the coins not distract thy purpose; advance forthwith to the blue triangle.,0,0
"Navigate through the maze and reach the golden square at the end, collecting any coins you find along the way.",3,1
"Travel towards the blue triangle, ensuring to collect every coin on your way.",0,1
Gather all the coins you see as you advance to the magenta diamond. Consider it essential.,1,1
Advance straight to the triangle having the navy characteristic and skip picking up coins along the route.,0,0
Catching coins as you go! Make your adventure towards the square that's really yellow.,3,1
"Set out for the lilac diamond, collecting all coins in sight.",1,1
"Without marching to the circle described as crimson, pick up any encountered coins.",2,0
"Focus on arriving at the teal triangle, and leave the coins.",0,0
"Set out for the golden square, ensuring you collect all visible coins.",3,1
Take the coins as you travel. Your destination is the yellow square.,3,1
But leave all coins untouched. Aim for the navy triangle.,0,0
Avoiding any coins you see. Proceed to the blue triangle.,0,0
